ts,match_id,room_id,turn_index,actor_id,enemy_id,chosen_action_kind,chosen_skill_id,chosen_action_group,dmg_to_enemy,heal_to_self,effect_applied,enemy_hp_after,actor_hp_after,battle_finished,winner_id,actor.level,actor.hp,actor.hp_pct,actor.power,actor.attack,actor.defense,actor.dmg_min,actor.dmg_max,actor.atk_boost_min,actor.atk_boost_max,actor.pct_damage,actor.pct_crit,actor.pct_evade,actor.pct_resist,actor.pct_escape,actor.pct_negate,enemy.level,enemy.hp,enemy.hp_pct,enemy.power,enemy.attack,enemy.defense,enemy.dmg_min,enemy.dmg_max,enemy.atk_boost_min,enemy.atk_boost_max,enemy.pct_damage,enemy.pct_crit,enemy.pct_evade,enemy.pct_resist,enemy.pct_escape,enemy.pct_negate,mask.num_specials_valid_off,mask.num_specials_valid_def,mask.num_support_valid,mask.num_masters_valid_off,mask.num_masters_valid_def,mask.num_masters_support
2025-08-23T22:08:42.319Z,room1-1755986900642,room1,1,playerB,playerA,BASIC_ATTACK,,offense,0,0,NONE,43,42,false,,1,42,1.05,10,10,11,1,4,1,6,55,10,5,10,0,20,1,43,1.075,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:08:47.660Z,room1-1755986900642,room1,2,playerB,playerA,BASIC_ATTACK,,offense,1,0,DAMAGE,42,36,false,,1,36,0.9,10,10,11,1,4,1,6,55,10,5,10,0,20,1,43,1.075,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:08:52.269Z,room1-1755986900642,room1,3,playerB,playerA,BASIC_ATTACK,,offense,1,0,DAMAGE,41,34,false,,1,34,0.85,10,10,11,1,4,1,6,55,10,5,10,0,20,1,42,1.05,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:08:56.447Z,room1-1755986900642,room1,4,playerB,playerA,BASIC_ATTACK,,offense,3,0,DAMAGE,38,29,false,,1,29,0.725,10,10,11,1,4,1,6,55,10,5,10,0,20,1,41,1.025,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:09:00.630Z,room1-1755986900642,room1,5,playerB,playerA,BASIC_ATTACK,,offense,3,0,DAMAGE,35,28,false,,1,28,0.7,10,10,11,1,4,1,6,55,10,5,10,0,20,1,38,0.95,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:09:04.625Z,room1-1755986900642,room1,6,playerB,playerA,BASIC_ATTACK,,offense,4,0,DAMAGE,31,22,false,,1,22,0.55,10,10,11,1,4,1,6,55,10,5,10,0,20,1,35,0.875,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:09:08.547Z,room1-1755986900642,room1,7,playerB,playerA,BASIC_ATTACK,,offense,1,0,DAMAGE,30,20,false,,1,20,0.5,10,10,11,1,4,1,6,55,10,5,10,0,20,1,31,0.775,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:09:12.406Z,room1-1755986900642,room1,8,playerB,playerA,BASIC_ATTACK,,offense,3,0,DAMAGE,27,17,false,,1,17,0.425,10,10,11,1,4,1,6,55,10,5,10,0,20,1,30,0.75,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:09:16.862Z,room1-1755986900642,room1,9,playerB,playerA,BASIC_ATTACK,,offense,1,0,DAMAGE,26,15,false,,1,15,0.375,10,10,11,1,4,1,6,55,10,5,10,0,20,1,27,0.675,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:09:32.851Z,room1-1755986900642,room1,10,playerB,playerA,BASIC_ATTACK,,offense,1,0,DAMAGE,25,11,false,,1,11,0.275,10,10,11,1,4,1,6,55,10,5,10,0,20,1,26,0.65,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:09:38.212Z,room1-1755986900642,room1,11,playerB,playerA,BASIC_ATTACK,,offense,2,0,DAMAGE,23,5,false,,1,5,0.125,10,10,11,1,4,1,6,55,10,5,10,0,20,1,25,0.625,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:09:42.381Z,room1-1755986900642,room1,12,playerB,playerA,BASIC_ATTACK,,offense,3,0,DAMAGE,20,3,false,,1,3,0.075,10,10,11,1,4,1,6,55,10,5,10,0,20,1,23,0.575,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:36:33.975Z,room1-1755988473772,room1,1,playerB,playerA,BASIC_ATTACK,,offense,0,0,NONE,44,44,false,,1,44,1.1,10,10,11,1,4,1,6,55,10,5,10,0,20,1,44,1.1,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:36:41.049Z,room1-1755988473772,room1,2,playerB,playerA,BASIC_ATTACK,,offense,2,0,DAMAGE,42,44,false,,1,44,1.1,10,10,11,1,4,1,6,55,10,5,10,0,20,1,44,1.1,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:37:23.532Z,room1-1755988473772,room1,3,playerB,playerA,BASIC_ATTACK,,offense,1,0,DAMAGE,41,44,false,,1,44,1.1,10,10,11,1,4,1,6,55,10,5,10,0,20,1,42,1.05,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:38:18.904Z,room1-1755988473772,room1,4,playerB,playerA,BASIC_ATTACK,,offense,4,0,DAMAGE,37,44,false,,1,44,1.1,10,10,11,1,4,1,6,55,10,5,10,0,20,1,41,1.025,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:38:32.019Z,room1-1755988473772,room1,5,playerB,playerA,BASIC_ATTACK,,offense,0,0,NONE,37,43,false,,1,43,1.075,10,10,11,1,4,1,6,55,10,5,10,0,20,1,37,0.925,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:38:38.448Z,room1-1755988473772,room1,6,playerB,playerA,BASIC_ATTACK,,offense,2,0,DAMAGE,35,41,false,,1,41,1.025,10,10,11,1,4,1,6,55,10,5,10,0,20,1,37,0.925,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:38:44.176Z,room1-1755988473772,room1,7,playerB,playerA,BASIC_ATTACK,,offense,4,0,DAMAGE,31,35,false,,1,35,0.875,10,10,11,1,4,1,6,55,10,5,10,0,20,1,35,0.875,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:38:49.313Z,room1-1755988473772,room1,8,playerB,playerA,BASIC_ATTACK,,offense,3,0,DAMAGE,28,30,false,,1,30,0.75,10,10,11,1,4,1,6,55,10,5,10,0,20,1,31,0.775,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:39:44.029Z,room1-1755988473772,room1,9,playerB,playerA,BASIC_ATTACK,,offense,2,0,DAMAGE,26,30,false,,1,30,0.75,10,10,11,1,4,1,6,55,10,5,10,0,20,1,28,0.7,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:39:49.145Z,room1-1755988473772,room1,10,playerB,playerA,BASIC_ATTACK,,offense,0,0,NONE,26,24,false,,1,24,0.6,10,10,11,1,4,1,6,55,10,5,10,0,20,1,26,0.65,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:39:54.288Z,room1-1755988473772,room1,11,playerB,playerA,BASIC_ATTACK,,offense,2,0,DAMAGE,24,22,false,,1,22,0.55,10,10,11,1,4,1,6,55,10,5,10,0,20,1,26,0.65,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:40:08.124Z,room1-1755988473772,room1,12,playerB,playerA,BASIC_ATTACK,,offense,2,0,DAMAGE,22,22,false,,1,22,0.55,10,10,11,1,4,1,6,55,10,5,10,0,20,1,24,0.6,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:40:10.940Z,room1-1755988473772,room1,13,playerB,playerA,BASIC_ATTACK,,offense,0,0,NONE,22,19,false,,1,19,0.475,10,10,11,1,4,1,6,55,10,5,10,0,20,1,22,0.55,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:40:13.519Z,room1-1755988473772,room1,14,playerB,playerA,BASIC_ATTACK,,offense,0,0,NONE,22,13,false,,1,13,0.325,10,10,11,1,4,1,6,55,10,5,10,0,20,1,22,0.55,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
2025-08-23T22:40:17.823Z,room1-1755988473772,room1,15,playerB,playerA,BASIC_ATTACK,,offense,3,0,DAMAGE,19,8,false,,1,8,0.2,10,10,11,1,4,1,6,55,10,5,10,0,20,1,22,0.55,8,10,11,1,6,1,6,55,10,5,10,0,20,0,0,0,0,0,0
